url,limit,name
https://maps.google.com/?cid=17010953243912318324,1497,Grand Mercure São Paulo Vila Olimpia
https://maps.google.com/?cid=14683244274448635292,716,Hotel Upper
https://maps.google.com/?cid=16074511644949448368,5225,Ibis Budget São Paulo Paraíso
https://maps.google.com/?cid=14797350566663573435,1839,Hotel OK
https://maps.google.com/?cid=4196051786153338597,1599,Novotel Jardins
https://maps.google.com/?cid=9632821217573261252,7186,Hotel Atlântico Business
https://maps.google.com/?cid=14870234385280467099,4326,Hotel Atlântico Tower
https://maps.google.com/?cid=1836528991941578723,891,Brazilodge All Suites Hostels
https://maps.google.com/?cid=3767478431225507873,5151,EZ HOTÉIS
https://maps.google.com/?cid=7111685243682325141,2638,Mercure Vila Olímpia
https://maps.google.com/?cid=2846337642766576242,1410,Hotel Viña Del Mar
https://maps.google.com/?cid=10434222696072654909,6362,Hotel Atlântico Prime
https://maps.google.com/?cid=17027425719667101926,3308,Hotel Américas Granada
https://maps.google.com/?cid=14928627055978217162,464,Hotel Americano
https://maps.google.com/?cid=1247214161031100967,1691,Hotel Pouso Real
https://maps.google.com/?cid=18188391788053257577,1763,Selina Lapa Rio de Janeiro & Coworking
https://maps.google.com/?cid=4400379697905728407,979,OYO Villa Rica
https://maps.google.com/?cid=4727297759610881085,1084,Hotel Diamond
https://maps.google.com/?cid=10335678158558201631,579,Hotel Monte Castelo
https://maps.google.com/?cid=17924465752112291178,442,Massape Rio Hostel
https://maps.google.com/?cid=8837839755430454796,2467,Casa Nova Hotel
https://maps.google.com/?cid=12204403645152237687,123,Hotel Atlântico Lapa
https://maps.google.com/?cid=12304465854069800749,19,Hostel 53 Dº
https://maps.google.com/?cid=9447914010617465660,251,Mambembe Hostel | Hostel em Santa Teresa Rio de Janeiro
https://maps.google.com/?cid=4066934119730830892,1412,Hotel Galicia
https://maps.google.com/?cid=9824667307817843444,279,Hotel Estadual
https://maps.google.com/?cid=16325323125868023979,212,Hotel Marajó
https://maps.google.com/?cid=16399918754909427403,3285,Novotel Rj Porto Atlantico
https://maps.google.com/?cid=8080319497502269190,34,Hostel Varandas do Maracanã
https://maps.google.com/?cid=4453397216017777408,2160,Gallant Hotel
https://maps.google.com/?cid=4066934119730830892,1412,Hotel Galicia
https://maps.google.com/?cid=11310787466817940820,16,ibis Rio Porto Atlantico
https://maps.google.com/?cid=7804995666990658879,2971,Hotel Intercity Porto Maravilha
https://maps.google.com/?cid=3275787107088763636,1339,Hotel Saionara
https://maps.google.com/?cid=2423748128989537523,110,Casinha Tropical Tijuca
https://maps.google.com/?cid=1181999640816264298,185,Hostel Quintal do Maracanã Tijuca
https://maps.google.com/?cid=9860572723881690272,76,Maracanã Hostel Vila Isabel
https://maps.google.com/?cid=8999475012850185924,576,Hotel Málaga
https://maps.google.com/?cid=2379740322049710029,61,Hostel Estação Maracanã
https://maps.google.com/?cid=9333336118915008165,466,Hotel Xanadu
https://maps.google.com/?cid=16497696623113777387,573,Maraca Up
https://maps.google.com/?cid=17372872879891111149,231,Graja Hostel
https://maps.google.com/?cid=13353943526545001194,119,Hotel San Diego
https://maps.google.com/?cid=314705100027824932,298,Hotel São Cristóvão
https://maps.google.com/?cid=3377978178894076966,1743,Arosa Rio Hotel
https://maps.google.com/?cid=18217907940673594349,313,Santa Vista Rio
https://maps.google.com/?cid=2020117375733815999,315,Hotel Hostal
